,Año,Trimestre,PIB_D,Importaciones_D,Exportaciones_D,Consumo_Privado_D,Consumo_Publico_D
0,2004,I,475.774,76.726,110.90799999999999,301.075,52.471000000000004
1,2004,II,469.98400000000004,80.62899999999999,114.546,305.247,52.961999999999996
2,2004,III,493.773,82.344,117.306,317.382,54.495
3,2004,IV,500.92900000000003,87.17299999999999,119.994,324.624,55.747
4,2005,I,515.446,89.021,128.989,321.89,57.651
5,2005,II,526.4069999999999,98.37299999999999,132.424,342.856,58.805
6,2005,III,529.976,93.046,132.577,331.952,59.8
7,2005,IV,540.395,98.234,128.39700000000002,343.914,60.675
8,2006,I,554.866,101.243,136.764,353.30800000000005,60.409
9,2006,II,561.1419999999999,103.48200000000001,135.077,372.666,60.895
10,2006,III,576.766,104.959,136.278,380.911,61.57899999999999
11,2006,IV,589.424,110.61399999999999,143.32,380.60699999999997,62.868
12,2007,I,603.9780000000001,117.93,142.863,391.389,65.22399999999999
13,2007,II,616.158,120.822,144.12,403.60900000000004,66.11
14,2007,III,624.069,129.422,150.529,412.125,66.12100000000001
15,2007,IV,643.565,134.672,158.94899999999998,419.284,67.538
16,2008,I,650.434,145.721,153.548,438.885,68.335
17,2008,II,653.581,151.07299999999998,138.291,440.416,69.441
18,2008,III,657.467,144.21200000000002,164.726,435.749,70.263
19,2008,IV,627.222,130.037,144.309,429.184,70.242
20,2009,I,605.434,114.868,143.14700000000002,407.647,70.569
21,2009,II,590.962,108.066,136.606,395.39,72.08
22,2009,III,613.2280000000001,115.941,127.322,427.264,74.92699999999999
23,2009,IV,625.867,127.00200000000001,137.635,419.785,76.385
24,2010,I,645.641,139.225,141.931,437.236,75.617
25,2010,II,673.783,156.196,162.535,456.892,77.544
26,2010,III,676.189,161.833,162.342,462.967,76.67699999999999
27,2010,IV,686.482,172.632,153.6,477.605,80.15100000000001
28,2011,I,703.044,182.372,157.997,491.645,79.676
29,2011,II,709.5239999999999,191.38299999999998,157.898,494.991,81.059
30,2011,III,714.666,199.472,164.69400000000002,508.23699999999997,81.79
31,2011,IV,715.8919999999999,195.41400000000002,165.55700000000002,511.716,81.61399999999999
32,2012,I,708.135,186.143,166.335,497.23,82.24
33,2012,II,683.4780000000001,172.745,142.846,496.148,82.93799999999999
34,2012,III,704.982,182.209,154.856,514.673,83.99799999999999
35,2012,IV,717.3489999999999,191.201,155.565,520.816,84.71799999999999
36,2013,I,716.085,185.80599999999998,150.72,518.631,86.72
37,2013,II,721.262,193.916,155.311,516.388,87.374
38,2013,III,725.694,190.657,151.56,535.498,87.89299999999999
39,2013,IV,718.587,190.352,140.19899999999998,532.181,89.679
40,2014,I,707.908,181.84099999999998,135.96,519.429,90.715
41,2014,II,703.211,170.77,140.67600000000002,500.07599999999996,89.449
42,2014,III,697.413,162.894,139.921,490.42699999999996,90.456
43,2014,IV,700.691,157.895,139.513,501.126,91.40299999999999
44,2015,I,711.6110000000001,166.78,131.428,511.787,94.62200000000001
45,2015,II,728.225,174.31099999999998,139.407,527.205,97.391
46,2015,III,727.26,182.95,140.967,523.5419999999999,97.945
47,2015,IV,718.8530000000001,181.085,128.82299999999998,522.052,97.209
48,2016,I,713.319,185.641,147.982,520.918,96.486
49,2016,II,701.5219999999999,186.74599999999998,140.171,512.4730000000001,94.059
50,2016,III,703.409,183.396,140.47899999999998,517.039,96.846
51,2016,IV,707.6610000000001,190.41099999999997,140.741,517.89,97.74600000000001
52,2017,I,713.357,199.799,146.189,527.3919999999999,97.91799999999999
53,2017,II,719.488,208.39,144.378,536.686,99.015
54,2017,III,730.758,218.498,146.44799999999998,539.414,99.00200000000001
55,2017,IV,737.72,234.093,142.134,547.264,99.65899999999999
56,2018,I,737.842,230.18900000000002,153.858,557.823,97.10799999999999
57,2018,II,700.337,216.792,132.091,533.615,96.40100000000001
58,2018,III,698.942,196.468,137.518,509.536,94.48299999999999
59,2018,IV,692.198,176.58900000000003,151.873,498.711,94.536
60,2019,I,694.243,172.334,155.735,491.686,95.758
61,2019,II,689.175,168.489,153.563,491.499,94.743
62,2019,III,695.824,166.804,157.58700000000002,492.97,94.60600000000001
63,2019,IV,688.8789999999999,158.838,162.559,489.046,91.68299999999999
