OBJECTID,Codigo,Texto,Cod_Prov,Cod_CCAA,TotalParoRegistrado,PAD_1C02,PAD_1_COD_PROV,PAD_1_COD_CCAA,Shape__Area,Shape__Length
1,01001,Alegría-Dulantzi,01,16,184,2856,01,16,37092694.4663086,48191.5685368662
2,01002,Amurrio,01,16,766,10260,01,16,179911447.932739,90623.6219858347
3,01003,Aramaio,01,16,18,1502,01,16,137706565.380493,58592.9140476931
4,01004,Artziniega,01,16,110,1840,01,16,51300778.0101318,31498.5240438716
5,01006,Armiñón,01,16,12,234,01,16,23802884.8815918,33293.805035854
6,01008,Arratzua-Ubarrundia,01,16,30,979,01,16,107422965.859497,89972.9346112103
7,01009,Asparrena,01,16,86,1630,01,16,118008144.150635,70669.9682119926
8,01010,Ayala/Aiara,01,16,111,2946,01,16,264340321.733643,88663.1915552995
9,01011,Baños de Ebro/Mañueta,01,16,6,308,01,16,17206801.2355957,24650.5913155995
10,01013,Barrundia,01,16,24,903,01,16,182865233.474854,80734.4861917157
11,01014,Berantevilla,01,16,25,449,01,16,66683914.673584,52853.5384035974
12,01016,Bernedo,01,16,20,499,01,16,242118724.943237,117480.802745472
13,01017,Campezo/Kanpezu,01,16,62,1059,01,16,157734527.973022,71370.0586931678
14,01018,Zigoitia,01,16,47,1727,01,16,190689591.114746,66723.0455623912
15,01019,Kripan,01,16,2,186,01,16,23011611.2509766,22267.6979232886
16,01020,Kuartango,01,16,14,368,01,16,193738038.99939,67625.2409215486
17,01021,Elburgo/Burgelu,01,16,20,612,01,16,58413461.3643799,82503.2324045707
18,01022,Elciego,01,16,64,1005,01,16,29992060.4295654,29558.8097481961
19,01023,Elvillar/Bilar,01,16,14,355,01,16,32204126.9476318,30286.9678315934
20,01027,Iruraiz-Gauna,01,16,16,514,01,16,87194894.6575928,114753.554268982
21,01028,Labastida/Bastida,01,16,122,1460,01,16,70850387.3028564,48359.7309016974
22,01030,Lagrán,01,16,4,168,01,16,89520962.1834717,58787.1598345539
23,01031,Laguardia,01,16,60,1478,01,16,148369417.903687,119147.910563856
24,01032,Lanciego/Lantziego,01,16,42,681,01,16,44584271.1966553,36774.798698111
25,01033,Lapuebla de Labarca,01,16,52,852,01,16,10959950.5217285,16735.26100238
26,01034,Leza,01,16,8,212,01,16,17913393.916748,23028.173838082
27,01036,Laudio/Llodio,01,16,1370,18212,01,16,70349200.9631348,37884.4032486068
28,01037,Arraia-Maeztu,01,16,26,722,01,16,227871650.605103,82782.1584585049
29,01039,Moreda de Álava/Moreda Araba,01,16,10,229,01,16,16183708.0426025,16818.8583855525
30,01041,Navaridas,01,16,6,226,01,16,16570925.7366943,16391.7526984042
31,01042,Okondo,01,16,64,1171,01,16,57443600.5770264,48032.7472786812
32,01043,Oyón-Oion,01,16,397,3326,01,16,83120332.6367188,57849.4337562085
33,01044,Peñacerrada-Urizaharra,01,16,6,269,01,16,114488216.44812,57862.1731322502
34,01046,Erriberagoitia/Ribera Alta,01,16,26,745,01,16,222726030.58667,114217.030006508
